File,Hit,LeftContext,TargetWord,RightContext,DepVar,HelpClass,HelpInflection,VerbLemma,InterveningWords,ObjPresent,ObjPronoun,ObjLength,ObjHead,HelpPolarity,PrecedingTo,SubjType,SubjHead,SubjAnimacy,CompLemma,CompTag
138103_1885-07-27_Supply—considered in Committee.txt,13,"they would be better able to appreciate it and estimate its full value tomorrow than they were today, hearing it for the first time. But one thing he could not",help,"noticing—and he had ventured to interrupt the right hon. Gentleman with regard to it—and that was, that though the figures of his statement had amounted to something like £2,250,000, in addition to a sum of £645,000 which, he understood, it was proposed to spend during the next three or four years, not a single 1 d. of that sum was",ING,VERB,VB,notice,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,notice,VBG
138103_1885-07-27_Supply—considered in Committee.txt,14,"women will not seek admission till they feel absolutely compelled, and many who come in are sad wrecks under 20 years of age. The usual routine of work, such as",helping,"in the laundry, etc., as carried out before, has had to be abandoned, the patients being too ill to do it, and charwomen are obliged to be employed instead. Indeed, could these zealous but mistaken people see as we see the fruits of what they have accomplished in the withdrawal of the police, they would be compelled to admit how",NA,VERB,VBG,NA,NA,NA,NA,NA,NA,POS,NOtoBefore,NP,work,Inanimate,carry,VBN
138103_1885-07-27_Supply—considered in Committee.txt,15,"been very considerably diminished; and if the Acts were not revived, the same results, which existed before they were brought into operation, would follow. MR. WHITBREAD said, he could not",help,"feeling moved by the feeling accents in which the right hon. and learned Gentleman the Member for Whitehaven (Mr. Cavendish Bentinck) had taken leave of the House. He deprecated the discussion, however, especially as the hon. Member for Devonport (Sir. Puleston) had admitted that nothing could result from it. As far as he understood the present position, it was this—that",ING,VERB,VB,feeling,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,move,VBN
138103_1885-07-27_Supply—considered in Committee.txt,16,"£14,000 was saved to the country, they thought it not an extravagant thing that some portion of that saving should be devoted to meeting their demands, which he could not",help,"thinking were just. All these poor old men, many of whom were spending their last few days in destitution, asked was that there might be some simple inquiry instituted. They did not ask for anything more definite. They were quite content that some inquiry should be made into their case. He would reiterate the hope, on sitting down, that the",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,think,VBG
138662_1885-08-11_Committee.txt,17,"money was confined to a certain date. The prisons in question were being emptied, and there was no reason why the land should remain idle any longer than could be",helped,". It was proposed not merely that the sites themselves should be devoted to working men's dwellings, but that it should be in the power of the Metropolitan Board of Works to exchange them for others. If hon. Members knew what was going on in London they would readily admit that time was really the essence of the matter. He was",NA,VERB,VBN,NA,NA,NA,NA,NA,NA,POS,NOtoBefore,NP,land,Inanimate,propose,VBN
138662_1885-08-11_Committee.txt,18,"in this question had left town. Of course, they could not be blamed for going away at that time of the Session; if they were away it could not be",helped,", and it was absurd to expect that the Committee could have any fair and open discussion on matters of this kind on the 11th of August. If the right hon. Gentleman would amend the clause by putting in words to the effect that the land should be sold for the best price obtainable in the open market, the clause might",NA,VERB,VBN,NA,NA,NA,NA,NA,NA,NEG,NOtoBefore,PRON,it,Inanimate,expect,VB
138662_1885-08-11_Committee.txt,19,"Chancellor of the Exchequer gave them an answer, he was sure he would give them a candid one, even if it were against himself. He (Mr. Hopwood) himself could not",help,"thinking that there could be no doubt at all in the matter, and that it was most assuredly contentious Business. Yet the Ministry had promised that nothing with even the flavour of contentious Business should be brought on during the rest of the Session. As he understood it, a compromise had been offered—that the sites should be sold ""for a",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,himself,Animate,think,VBG
138662_1885-08-11_Committee.txt,20,"Secretary (Sir R. Assheton Cross) was speaking on this subsection yesterday, he spoke of it as if it applied only to Vestries in the Metropolis. He (Mr. Hollond) could not",help,"thinking that when this subsection was drawn the draftsman had in his mind the difficulty experienced in inducing Vestries to carry out Torrens's Acts. If that was so, there was nothing whatever in the subsection which limited it to the Metropolis. Amendment proposed, to leave out Subsection (2.)—( Mr. Hollond. ) Question proposed, ""That the subsection stand part of the",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,NP,Hollond,Inanimate,think,VBG
138821_1886-01-21_Address in Answer to Her Majesty's Most Gracious Speech.txt,21,"great country. Having the privilege of living in the North of Ireland, where at present there is peace and quietude, I sympathize with those in the South, though unable to",help,"them without the authority and support of the law. Her Majesty has plainly indicated the course that will be pursued. The Loyalists will be supported, and those who are weak and trodden down by others. Lawlessness and intimidation will not be allowed to reign supreme. The issue must soon be decided, and the British nation must be at once awakened",NA,VERB,VB,NA,NA,NA,NA,NA,NA,POS,YEStoBefore,NP,South,Inanimate,indicate,VBN
138821_1886-01-21_Address in Answer to Her Majesty's Most Gracious Speech.txt,22,"which may have existed, and at the same time tend to increase public confidence in their administration of affairs. In reference to foreign affairs in Her Majesty's Speech, I cannot",help,"noticing that Her Majesty's Ministers have one great advantage over the late Government in this respect. They can come and meet Parliament with, so to speak, a clean bill of health in respect to their management of affairs abroad. They I have had dangers to encounter, and difficulties to avoid; but they have no long tale of disaster and defeat",ING,VERB,VB,notice,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,I,Animate,notice,VBG
138821_1886-01-21_Address in Answer to Her Majesty's Most Gracious Speech.txt,23,"of one Peer and a third per month; and if he remains in Office the 10 years which he once intimated, we shall have 160 excellent new Conservative Peers to",help,"us in our work. I do not intend to delay your Lordships. As to the depression in trade and agriculture, I do not propose to say anything against the statement in the Royal Speech. It does not remove the melancholy fact that this depression seems common to all countries in the world. I read at the end of last Session",NA,VERB,VB,NA,NA,NA,NA,NA,NA,POS,YEStoBefore,NP,Peers,Inanimate,intend,VB
138821_1886-01-21_Address in Answer to Her Majesty's Most Gracious Speech.txt,24,"in this world go by comparison, I say it is positively cheerful in comparison with the black descriptions we have had about that country from so many sources. I cannot",help,"feeling grateful as an individual that I have no share in, or responsibility with, the Government at this moment. That responsibility was immensely increased by the policy which Her Majesty's present Advisors adopted when they formed a Government. Various reasons were given for that policy. It was announced by the noble Marquess that it was impossible to strengthen the hands",ING,VERB,VB,feel,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,I,Animate,feel,VBG
137367_1885-07-08_Supply—navy Estimates.txt,25,"in the proceedings of the Board of Admiralty under the present system, and that it was hopeless to expect any. He was satisfied that they were only, by their criticisms,",helping,"to maintain a state of things by which other nations were led into the same miserable policy of unduly increasing their outlay instead of restricting it within rational limits. CAPTAIN PRICE said, that on page 17 of the Votes there was an item of £500 for services in connection with the Intelligence Department. He wished to know whether that item",TO,VERB,VBG,maintain,0,No,NA,NA,NA,POS,NOtoBefore,NP,criticism,Inanimate,maintain,VB
138007_1885-07-24_Class Iii—law and Justice.txt,26,"in Ireland, it would suffice to again call attention to the case of Sub-Sheriff Ormsby, himself a guardian of the law, who was found the other day, lying drunk and",helpless,"in the street, and was carried away by the police on a stretcher. That gentleman was not brought up at the police court and charged with drunkenness as an ordinary citizen or peasant would have been; and he (Mr. Sexton) could not, under those circumstances, help reflecting that in connection with any further legislative measures which might be considered necessary",NA,ADJ,JJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138007_1885-07-24_Class Iii—law and Justice.txt,27,"was not brought up at the police court and charged with drunkenness as an ordinary citizen or peasant would have been; and he (Mr. Sexton) could not, under those circumstances,",help,reflecting that in connection with any further legislative measures which might be considered necessary for Ireland the Government would recognize the fact that those laws were best which were best administered. All the Government had to do to make the Constabulary Force effective and remove its unpopularity was to teach each man in it that the countenance of authority and,ING,VERB,VBP,reflect,0,No,NA,NA,NA,POS,NOtoBefore,NP,circumstance,Inanimate,reflect,VBG
138007_1885-07-24_Class Iii—law and Justice.txt,28,"he should like to know, was the object of such a proceeding—why were police sent down to local meetings to the annoyance of people taking' part in them? It only",helped,"to add to the expenditure; it only helped to add to the sums the Committee were asked to vote year after year. When he (Mr. Molloy) had challenged the Predecessor of the right hon. Gentleman the Chief Secretary upon this subject, the right hon. Gentleman had stated that the police had no right to indulge in this sort of occupation,",TO,VERB,VBD,add,0,No,NA,NA,NA,POS,NOtoBefore,PRON,it,Inanimate,add,VB
138007_1885-07-24_Class Iii—law and Justice.txt,29,of such a proceeding—why were police sent down to local meetings to the annoyance of people taking' part in them? It only helped to add to the expenditure; it only,helped,"to add to the sums the Committee were asked to vote year after year. When he (Mr. Molloy) had challenged the Predecessor of the right hon. Gentleman the Chief Secretary upon this subject, the right hon. Gentleman had stated that the police had no right to indulge in this sort of occupation, and that instructions had been issued to them",TO,VERB,VBD,add,0,No,NA,NA,NA,POS,NOtoBefore,PRON,it,Inanimate,add,VB
137286_1885-07-06_Russia—offensive Speeches.txt,30,"man does not keep his promise in commercial matters, if he does it intentionally, you say he is a swindler; if he fails to keep his promise, because he cannot",help,"it, you say he is a bankrupt. But whether swindler or bankrupt you are very careful in trusting him next time. THE CHANCELLOR OF THE EXCHEQUER (Sir MICHAEL HICKS-BEACH) No, Sir. I ought to add, though, that my noble Friend beside me (Lord Randolph Churchill) informs me that the quotation of his statements is not accurate. I must also not",NA,VERB,VB,NA,NA,NA,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,say,VBP
137542_1885-07-13_Army Estimates.txt,31,"the rural districts, but it did in regard to some of the most efficient and able Volunteer Corps of the country which belonged to the large towns. He could not",help,"thinking that something might be done to provide convenient ranges, so that the various corps might have reasonable facilities afforded them for improving their shooting. He would suggest that there should be some small grant to those Volunteers who showed a higher state of efficiency than the rest, and that for shooting up to a certain standard a certain grant",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,think,VBG
137542_1885-07-13_Army Estimates.txt,32,"on the investigation which had been instituted, and carry out the plan of drilling the men with the Volunteers in the cheapest manner possible. MR. TOMLINSON said, he could not",help,"thinking that the suggestion put forward by the hon. and gallant Baronet (Sir Arthur Hayter) with respect to putting Reserve men through their drill with the Volunteers was a valuable one, and he believed that if it were carried out it might be of advantage to the men of both Services. But there had been this difficulty felt, both with",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,think,VBG
137542_1885-07-13_Army Estimates.txt,33,"to the jamming of the cartridges, he himself had had no opportunities of seeing the worst cases which seemed to have happened in the Nile Expedition; but he could not",help,"thinking that a great deal of the jamming was due to the men themselves. When a man went into action for the first time he was excited, not unnaturally; and he had himself, not once only, but many times, seen rifles fail to throw out the cartridge cases properly, because the men in their hurry and excitement failed to use",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,think,VBG
137542_1885-07-13_Army Estimates.txt,34,"he could honestly say, so far as the officers were concerned — whether military or civil, and he had had to do with both—he had always found them ready to",help,"him with their experience. They were all very hard working; they thoroughly know their business; and if they committed mistakes they only did what all mortals, high or low, sometimes did in their lives. The Expeditions to Egypt and the Soudan had been of a novel kind. There was no doubt that the transport to that country, although it was",NA,VERB,VB,NA,NA,NA,NA,NA,NA,POS,YEStoBefore,PRON,they,Animate,work,VBG
137542_1885-07-13_Army Estimates.txt,35,"manned. Mistakes occurred in the War Office as elsewhere, because the staff was hardly sufficient for what might happen. Mistakes might be prevented by a little management—by a little extra",help,"and aid, perhaps merely by the payment of an extra salary to a junior officer, and appointing to a responsible office one who was capable of giving assistance in time of need. Because the Departments were undermanned those mistakes were made, and the cry was heard—""Oh, the Ordnance and Store Department is utterly rotten; the boots are all bad, the",NA,NOUN,NN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136875_1885-05-18_Supply—civil Services and Revenue Departments.txt,36,"but it caused me to pass a very melancholy Sunday morning in endeavouring to master its contents. It is a most sorry record of official diplomacy. Of course, one cannot",help,"one's thoughts being influenced by the fact that news had come to this country that morning of the great, distinguished, and, as it appears, quite unusual rewards conferred by the Russian Government on General Komaroff. One cannot help feeling that the Russian Government had every rea- son to confer unusually high rewards on their officers, and that the House of",CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,NEG,NOtoBefore,PRON,one,NA,influence,VBN
136875_1885-05-18_Supply—civil Services and Revenue Departments.txt,37,"that news had come to this country that morning of the great, distinguished, and, as it appears, quite unusual rewards conferred by the Russian Government on General Komaroff. One cannot",help,"feeling that the Russian Government had every rea- son to confer unusually high rewards on their officers, and that the House of Commons, at any rate, had no reason to confer any rewards on Her Majesty's Government, in the shape of showing confidence in them, or of abstaining from proceedings which may be disagreeable to them. I do not generally",ING,VERB,VB,feel,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,one,NA,feel,VBG
136875_1885-05-18_Supply—civil Services and Revenue Departments.txt,38,"attended with the rout and slaughter of their Allies. It was in their power, long before that conflict took place, to have prevented it. I pass to another point; it",helps,"in laying the foundation for a debate which probably will come off sooner or later. I wish to come to the suggestions of the Prime Minister with regard to the discoveries which we should make when we got certain Papers in our hands. There has been no precedent, so far as I can find, and I doubt whether the Prime",ING,VERB,VBZ,lay,0,No,NA,NA,NA,POS,NOtoBefore,PRON,it,Inanimate,lay,VBG
136875_1885-05-18_Supply—civil Services and Revenue Departments.txt,39,"ever shown the slightest indisposition to listen to any case that was properly brought forward and represented by any of its Members; but, at the same time, he could not",help,"thinking it was a highly inconvenient course, and one that did not tend to raise the character or the credit of that House, to have questions of the kind that had just been raised—questions of a judicial nature, involving important considerations connected with the administration of justice—suddenly sprung upon the House without having been previously put upon the Notice Paper,",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,think,VBG
136875_1885-05-18_Supply—civil Services and Revenue Departments.txt,40,the Board of Governors obliged to receive them. If the Government would be content to pay a portion of the expense of their maintenance there was no reason why those,helpless,"people should not be admitted into the District Asylum. Hundreds of people were treated in the Asylum, the expense of whose maintenance should not, under any circumstances, be thrown upon the rates. People were taken in, no matter where they came from—whether from England, America, or Australia—and became chargeable to the Cork ratepayers. The people of Ireland had not the",NA,ADJ,JJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136875_1885-05-18_Supply—civil Services and Revenue Departments.txt,41,"not a sufficient amount of nourishment given to those poor people to keep them in a normal state of health. The consequence was that they had an amount of debility,",helplessness,", and hopelessness in the Irish workhouses that would not be dreamed of in this country, and that the mortality amongst the workhouse children was greater than it was amongst the children of the poorest people outside the workhouses. COLONEL NOLAN trusted the right hon. Gentleman the Chief Secretary to the Lord Lieutenant would now reply to the various points raised,",NA,NOUN,NN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137805_1885-07-20_Class Ii—salaries and Expenses of Civil Departments.txt,42,"find the inmates so emaciated and poorly nourished that they were hardly like human beings. There was a total want of physical power about them, and an evident lassitude and",helplessness,"and air of depression, that were unnatural and horrible. As to the children they had a languid and lifeless appearance, while the class of persons classified as able-bodied males were not able-bodied, because they did not get a sufficient amount of nourishment to enable them to go through the ordinary daily exertions incidental to workhouse life, or to give them",NA,NOUN,NN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138446_1885-08-04_Committee [Progress 29th July].txt,43,"distance. The steam trawlers had no sails, therefore he thought the numbers should be painted on the funnels. It would be a great advantage to fishermen, inasmuch as it would",help,"them to identify vessels which did them damage. Amendment proposed, In page 2, line 34, after the word ""ground,"" to insert the words ""on the funnel twelve inches from the top, and.""—( Mr. Marjoribanks. ) Amendment agreed to. MR. WILLIAMSON proposed to insert, after ""officers,"" in page 3, line 5, ""or officers of the Fishery Board."" Amendment proposed, in page",TO,VERB,VB,identify,1,Yes,PRO,1,them,POS,NOtoBefore,PRON,it,Inanimate,identify,VB
137570_1885-07-13_Observations.txt,44,land should be expedited. Surely it was time for the Government to intervene for the purpose of clearing up this absurd difficulty. If the two bodies he had named were,helpless,"let us get rid of them, and put another body, or an effective amalgamation of both, in their place. This was not the only instance which had occurred of this kind of deadlock, and he felt sure he was correct in stating that similar cases had been brought privately or officially under the notice of the late Government. The Landed",NA,ADJ,JJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137804_1885-07-20_Class I—public Works and Buildings.txt,45,any other Department either in Ireland or in this country. When he came to consider the character of the Votes submitted by the Irish Board of Works he could not,help,"being struck by the fact that almost all the money asked for was to be spent on works that were of no permanent advantage to the country. It would be seen that the money was expended upon Constabulary barracks to any extent. Large sums of money were also voted in connection with the navigation levels of the different river valleys,",ING,VERB,VB,be,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,strike,VBN
137952_1885-07-23_Resolution.txt,46,prevent double taxation must be maintained; but he should certainly deal freely with the others. These included landowning Departments of the Government and the Ecclesiastical Commissioners; and he could not,help,"feeling that the susceptibilities of the officials connected with these Corporations and their objection to taxation counted for a good deal. There was confusion of thought as between Death Duties and Property and Income Tax. This Bill professed to be a Death Duty Bill; but, to all intents and purposes, it was an Income Tax Bill. An important Petition presented",ING,VERB,VB,feel,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,feel,VBG
137952_1885-07-23_Resolution.txt,47,"5 per cent would not be far from the mark; but as Corporate property did not pay Probate Duty, and was very largely composed of real estate, he could not",help,"thinking that this was rather a severe measure. He certainly could have no sympathy with the Bill so long as absurd exemptions were retained in it, and he would feel inclined to vote for a reduction of the charge on Corporate property until the whole of it was included. Instead of attempting to insert the thin edge of the wedge",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,think,VBG
137952_1885-07-23_Resolution.txt,48,"foreign and colonial states and dividends of foreign and colonial companies. That was to say, the Government considered they ought to employ a new set of collectors. He could not",help,"thinking it would be very unwise to pass this clause. He was quite willing to believe, in fact he knew, that most bankers would give every facility to assist the Government as far as they could in the collection of the Income Tax; but any interference between the banker and his customers, in order to ascertain what transactions passed through",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,think,VBG
137952_1885-07-23_Resolution.txt,49,"bankers as a class should be picked out and, because they happened to have a large amount of money, be made collectors of taxes. No doubt, voluntarily, the bankers would",help,"the Government as much as they could. They would have no objection to lending their assistance; but they decidedly objected to being made tax collectors by law, and to having a penalty inflicted upon them for neglecting to act in that capacity. Question put. The Committee divided: —Ayes 135; Noes 20: Majority 115.—(Div. List, No. 244.) THE CHANCELLOR OF THE",NA,VERB,VB,NA,NA,NA,NA,NA,NA,POS,NOtoBefore,NP,banker,Inanimate,have,VB
137897_1885-07-22_Class Iii—law and Justice.txt,50,"hon. and learned Gentleman had expressed himself very strongly against certain lines of conduct which he said had taken place, and he had declared that, so far as be could",help,"it, such conduct should not take place in time to come. But the right hon. and learned Gentleman had gone further, and had, unfortunately, declared that in his opinion his Predecessors had acted in times past as it would be fitting for him to act in the future. He (Mr. Biggar) considered it a mistake on the part of the",NA,VERB,VB,NA,NA,NA,NA,NA,NA,POS,NOtoBefore,PRON,he,Animate,take,VB
137897_1885-07-22_Class Iii—law and Justice.txt,51,"right, others believed that he was wrong, but all believed something. In like manner the right hon. and learned Gentleman must have formed an. opinion on the matter—he could not",help,"himself. Well, he would ask the right hon. and learned Gentleman what was he going to do to follow up the impression he must have formed in his own mind? Did he not think it was his duty to ascertain whether or not there was any foundation for the statements which had been made? There was plenty of evidence before",NA,VERB,VB,NA,NA,NA,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,ask,VB
138004_1885-07-24_Observations.txt,52,"doubtless he would be selected as the next city Governor—assuming, of course, the statements of the hon. Member for Cork (Mr. Deasy) regarding him to be correct. No one could",help,"feeling pain at the sad circumstances of the death of the man referred to by the hon. Member for Sligo (Mr. Sexton). He at once admitted that if drunken persons wore to be confined in police barracks, adequate cell accommodation was not merely desirable, but necessary. In many police barracks there was great want of accommodation, and that was owing",ING,VERB,VB,feel,0,No,NA,NA,NA,NEG,NOtoBefore,NP,one,Inanimate,feel,VBG
138550_1885-08-07_Consideration [Adjourned Debate].txt,53,"substantive one. MR. EDWARD CLARKE said, he should support the original Amendment, and oppose the extension of it suggested by the hon. Member for Bedford (Mr. Whitbread). He could not",help,"thinking that to allow a child other than the complainant to give evidence otherwise than upon oath would be a source of serious danger to the accused. SIR HENRY JAMES said, he thought the feeling of hon. Members was rather in favour of the proposal of his hon. Friend (Mr. Whitbread); and he would withdraw his subsection in favour of",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,think,VBG
138606_1885-08-10_Committee.txt,54,he was also aware that the part of a Cassandra was not a gracious nor a popular one either on the stage or off of it; but he could not,help,"expressing his doubts and misgivings, after the experience he had obtained, as to whether the Bill would achieve the objects which it had in view, and, if it did achieve them, whether they would not be purchased at too dear a price. The principles on which the Bill was based appeared to him to be fraught with novelty. Almost for",ING,VERB,VB,express,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,express,VBG
138606_1885-08-10_Committee.txt,55,"utmost sincerity, that he hoped and desired that it might be so. Nothing would give him greater pleasure than to find that the misgiving and doubt which he could not",help,"feeling as to the expediency of the Bill, and as to the precedents set by its provisions, were falsified. If the Bill became a success, and it were a means of establishing, with justice to all parties, and with justice to the State, which meant the people of the United Kingdom generally, a peasant proprietary in Ireland, and that peasant",ING,VERB,VB,feel,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,feel,VBG
